# podwatch paymentUnreachable-window: checkout,payment,email for 720s every 20s -> capture/podwatch-paymentUnreachable-window.jsonl
   t+s  pod                                container     cpu_m   mem_Mi restarts  lastTerminated
   645  payment-5d6476fcfd-l7c27           payment        15.0     83.0        0  
   666  checkout-77f464555c-f67td          checkout        7.0     17.0        0  
   666  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   666  payment-5d6476fcfd-l7c27           payment        13.0     83.0        0  
   687  checkout-77f464555c-f67td          checkout       11.0     17.0        0  
   687  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   687  payment-5d6476fcfd-l7c27           payment        13.0     83.0        0  
   708  checkout-77f464555c-f67td          checkout       14.0     17.0        0  
   708  email-b498b7dc6-xkgsn              email           2.0     51.0        0  
   708  payment-5d6476fcfd-l7c27           payment        13.0     83.0        0  

# peak memory observed
   checkout-77f464555c-f67td                checkout   18 Mi
   email-b498b7dc6-xkgsn                    email      51 Mi
   payment-5d6476fcfd-l7c27                 payment    83 Mi
# artifact: capture/podwatch-paymentUnreachable-window.jsonl
